"gene","stat"
"MFSD8",2.37372524266166
"RHBDD2",2.37263918109872
"ADIRF",2.37173159781853
"MED25",2.37053481987535
"CXCR6",2.36977085720397
"C20orf204",2.36654874725313
"BRD7",2.36439684046
"RSBN1L",2.35894537425882
"SDR42E1",2.35693577219509
"CAMK4",2.35289796370642
"CLIC5",2.35161641455035
"KIF3B",2.35103753240729
"MARS",2.35087431568445
"UNKL",2.34790622491406
"POC5",2.34710044893629
"IGKV3-11",2.34596785900115
"BMS1",2.34495365660076
"IKBKE",2.33567919537229
"STAT5B",2.33541685735448
"NAXD",2.33079785460847
"CD96",2.32848702842554
"PIGR",2.32793351128197
"DBH-AS1",2.32756962536708
"TRIM59",2.32246621794203
"DPF2",2.32061977230724
"NEMF",2.3202360885043
"NOTCH2NLC",2.31936279421488
"TRAV21",2.31692140423006
"RAB38",2.31363223045677
"ABCD4",2.31122805506163
"RICTOR",2.30871108079029
"NMB",2.3052368618317
"NIPAL3",2.30520853358788
"SOX5",2.30400980647571
"PPHLN1",2.30049417564459
"IGKV1-17",2.29941446709371
"CPNE7",2.29541259382838
"SDHA",2.29121627181246
"CMIP",2.28589796948726
"RNF34",2.28008682148822
"GCDH",2.27932393856398
"LPIN2",2.27275553154632
"EXOSC1",2.27246105475776
"AKNA",2.26715507823809
"NDUFAF5",2.2662611752739
"TMEM234",2.26529379818294
"ABAT",2.2622048275414
"AL133405.2",2.26162467626457
"TRAV24",2.26037625244512
"CSNK1G1",2.25743755257601
"TESC",2.2565527239199
"S100PBP",2.25320469470519
"TRGV10",2.24919775714251
"CD3D",2.24906059915565
"TRIM37",2.24895017893617
"NAT14",2.24806562284307
"BICDL1",2.24775773450882
"TRBV7-7",2.24459506644259
"PELO",2.23942494952312
"GRAMD1B",2.23914789377736
"LAG3",2.23731728719279
"PDLIM4",2.23554436240271
"ALKBH4",2.23479756641844
"MYO5B",2.23294068227226
"AL137009.1",2.23274871539331
"LYPLA2",2.22859695512023
"IGHV1-3",2.22721675637983
"ZNF567",2.22420604363185
"ZNF510",2.22351927258289
"ZNF28",2.21953151263698
"TYW5",2.21710765480381
"IGHV3-33",2.21483132650579
"ANKRD52",2.21424300222178
"CCNL2",2.21288953784879
"CDC37L1",2.21109781399827
"RGL4",2.2106940495368
"S100A14",2.20795242188373
"GZMB",2.20475619916912
"PTPRS",2.20393280398908
"ASB1",2.203343561233
"ENDOD1",2.19989967232953
"TRBV12-4",2.19860800957278
"TRBC2",2.19732830311062
"DGCR2",2.19134101719805
"C12orf65",2.18871561547782
"MIAT",2.18464810519612
"CAB39",2.1802990984551
"TRGV8",2.18019493795461
"IGLV2-11",2.18007518110864
"PTPRJ",2.17507139688709
"CCAR2",2.1743103240083
"IGHV4-39",2.17279815600769
"AKAP13",2.17255755787324
"ZFP82",2.17019977008941
"HPS6",2.16413666657714
"PEX3",2.16082651781252
"ZNF600",2.15173369898463
"IGKV3OR2-268",2.14981019488658
"YARS",2.14579760002646
"GDE1",2.14546367126603
"ATP2B4",2.14514781913517
