"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.18050220724013e-24,1.47713554658508,0.321,0.117,2.84654497231813e-20,"10","GBA"
1.34909875344526e-24,1.10367570471709,0.584,0.319,3.25308182418255e-20,"10","STX7"
1.47798019262393e-24,1.58483248719961,0.266,0.086,3.56385363847407e-20,"10","PDLIM2"
1.67546465055181e-24,1.04129919267344,0.653,0.389,4.04004791187558e-20,"10","CAPZA2"
1.92251810060697e-24,0.597043100262013,0.985,0.863,4.63576789599358e-20,"10","GRN"
1.92729456751384e-24,0.878495720248615,0.734,0.47,4.64728539064613e-20,"10","HCK"
2.11819728952668e-24,1.32413831559102,0.449,0.205,5.10760912423568e-20,"10","CACUL1"
2.12468760583104e-24,0.665763527096236,0.916,0.713,5.12325922394039e-20,"10","VAMP8"
2.9938464698247e-24,1.03574494627099,0.573,0.297,7.21906199268831e-20,"10","STAT1"
4.02088083960408e-24,0.728283068110903,0.934,0.78,9.69554996853732e-20,"10","HMGB1"
4.37294022057345e-24,0.845092297325818,0.843,0.635,1.05444707538688e-19,"10","CANX"
5.09818308450735e-24,0.962776731962763,0.697,0.422,1.22932488716726e-19,"10","LYN"
5.11918084050132e-24,0.931703617411245,0.69,0.421,1.23438807607008e-19,"10","TMBIM4"
5.44183929241824e-24,1.57217765506732,0.277,0.094,1.31219070858081e-19,"10","RHOBTB3"
6.1885009351299e-24,1.3509727401203,0.391,0.162,1.49223323048787e-19,"10","AIG1"
6.28093746695827e-24,1.66798476701291,0.263,0.087,1.51452245140765e-19,"10","SLC49A4"
6.65958765740374e-24,1.61954441195516,0.274,0.093,1.60582637182976e-19,"10","TPST2"
8.64548216860451e-24,1.53914115088822,0.292,0.103,2.08468511531561e-19,"10","TTC1"
1.00143521190203e-23,1.49376258106344,0.442,0.206,2.41476072645936e-19,"10","IDI1"
1.17115446315673e-23,1.78376351960813,0.252,0.082,2.82400475700982e-19,"10","PHYH"
1.30670216541465e-23,1.13077539774013,0.496,0.237,3.15085093146433e-19,"10","VOPP1"
1.69827199656062e-23,1.49034185240977,0.376,0.157,4.09504326530661e-19,"10","PHACTR4"
1.75228031686844e-23,1.80053269966141,0.453,0.223,4.22527352806488e-19,"10","DNAJA4"
1.76721665980888e-23,1.37784751724368,0.427,0.194,4.26128953179716e-19,"10","RALBP1"
1.97899001581559e-23,1.66060523664732,0.255,0.083,4.77193862513613e-19,"10","DGLUCY"
2.07262132049491e-23,0.824684096207591,0.759,0.501,4.99771179010938e-19,"10","TBXAS1"
2.45991743150862e-23,1.18794195098446,0.361,0.141,5.93159890259674e-19,"10","NR1H3"
2.5326767926938e-23,1.53774688225153,0.292,0.104,6.10704355022255e-19,"10","SLFN11"
2.83501744219394e-23,0.605303050489775,0.996,0.995,6.83607755836225e-19,"10","TPT1"
2.95213691088935e-23,1.52272618942983,0.296,0.106,7.1184877332275e-19,"10","SLC46A3"
3.43895972361139e-23,1.13663273453852,0.518,0.262,8.29236358154415e-19,"10","AKAP9"
3.95261784300495e-23,1.27557741280087,0.38,0.156,9.53094740483784e-19,"10","EVL"
4.26166274510978e-23,1.30851470976457,0.398,0.17,1.02761473772832e-18,"10","CDK5RAP3"
4.77956190341011e-23,1.44669490212363,0.354,0.145,1.15249576176928e-18,"10","NKTR"
5.38013566032061e-23,0.929183237238244,0.679,0.418,1.29731211177311e-18,"10","LY86"
5.65779670379899e-23,1.61302133431471,0.263,0.089,1.36426451918705e-18,"10","TRIP11"
