"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMEM150B",22.1383015492056,-2.37231291570758,0.757943113454857,-3.1299353125515,0.00174844800778511,0.170841775076477
"CCL8",98.8230868236641,-2.98051029200017,0.95598161657566,-3.11774854277679,0.00182238215897571,0.176902090360178
"S100Z",21.9011725752434,-1.94308227780191,0.624351337378828,-3.11216163315901,0.00185722783090632,0.179113946393641
"LOXL3",38.5878384983099,-1.64579848836673,0.53006583961378,-3.10489445908438,0.00190346930891327,0.181247781810483
"AC117453.1",10.9230457006721,3.68509603242187,1.18713746498773,3.10418644942688,0.00190803048655915,0.181247781810483
"SLC27A1",64.9054627560362,-1.45244326264518,0.468549151344226,-3.09987385203505,0.00193603079276344,0.181247781810483
"GFI1",314.888582115068,1.6013898617122,0.516621840612678,3.09973318164997,0.00193695044212727,0.181247781810483
"ZBED2",91.3471055862176,1.76830655257644,0.570566791279579,3.09921043355986,0.00194037148585153,0.181247781810483
"JDP2",67.613662371999,-1.66744464206027,0.538649992673824,-3.09559948898019,0.00196415468094551,0.182322658258767
"SDC3",94.6443057377275,-3.21333326775392,1.04043412483258,-3.08845432023002,0.00201200622453308,0.1844795805078
"SLC11A1",158.920586639362,-1.56092960062998,0.505413518362917,-3.0884207563066,0.00201223350675085,0.1844795805078
"ALDH3B1",63.6998166911363,-1.95555977971393,0.634244681620757,-3.08328920428102,0.0020472609185785,0.186539381366429
"PHEX",44.6913019823709,2.18397235160158,0.709858942189179,3.07662863958055,0.00209355945746245,0.189594786964831
"CRYL1",239.859463750177,-1.06521116615608,0.346911467290858,-3.07055622713959,0.00213660452478245,0.192320305467085
"GRASP",680.376730438192,-1.26723070114409,0.413436271758013,-3.06511737771718,0.00217584585391888,0.194672666400019
"KLF10",2223.71629153272,-0.925399943908507,0.30290911503225,-3.05504158833247,0.00225029315752086,0.200127868116765
"ZNF703",225.024713719064,-1.20131300293424,0.393593753230727,-3.0521648097144,0.00227197319013754,0.200771058233667
"LILRB4",522.84558652946,-1.02030108247937,0.334469462395176,-3.05050594207575,0.0022845615971916,0.200771058233667
"CTSW",2656.20826392168,1.45285043808769,0.47759664583082,3.04200301817517,0.00235009538029986,0.203566568975168
"GLDN",26.2254294524489,-2.44176268173037,0.80289028969441,-3.04121585859474,0.00235624841785299,0.203566568975168
"LINC02256",365.941305226675,-0.826180638881234,0.2716754701719,-3.0410571788409,0.00235749056448484,0.203566568975168
"PWP2",146.379624629277,1.09092086408323,0.35912068526987,3.03775557585447,0.00238347194658943,0.204620377749978
"STAT5A",1464.70845247793,0.834150756069762,0.274906501484594,3.03430712465893,0.00241088858360779,0.205472991779585
"HBEGF",605.368742586196,-1.15260935938168,0.380276502347955,-3.03097707132859,0.0024376375808256,0.205472991779585
"DDAH2",1012.47588283089,-0.745320201731632,0.246004215562513,-3.0297049992716,0.00244792712442275,0.205472991779585
"CLEC2D",3417.08473745965,0.979595075647124,0.323340916358358,3.02960443942529,0.00244874222629859,0.205472991779585
"TCEAL9",306.217900236267,-1.47447547412629,0.488359682519302,-3.01924079096766,0.00253409036583497,0.209159631292415
"ITM2C",1755.19441008066,0.659957844613472,0.218587574469554,3.01919194727784,0.0025344989734753,0.209159631292415
"ZBTB10",738.38568699159,-0.86583596824822,0.286882251267241,-3.0180883077415,0.00254374767916163,0.209159631292415
"MT1G",397.90935516108,-3.18280317743096,1.05508285866825,-3.01663812588933,0.00255594740170658,0.209159631292415
"CD6",2996.86599412774,0.770950989288008,0.255734215321929,3.01465718350399,0.00257269864605223,0.209159631292415
"FOS",35213.5264923328,-1.43686131510545,0.476708514582552,-3.0141297483719,0.00257717563469647,0.209159631292415
"ZBED3-AS1",12.6908951385917,-3.0041098601608,0.99863498180296,-3.00821612991877,0.00262786176706441,0.212114146545873
"GLUL",3429.31265387638,-1.00755762120806,0.335712478597812,-3.00125162286602,0.00268872286274836,0.215853578148858
"AL359220.1",216.135284239777,1.09191049756235,0.364273920398986,2.99749841099355,0.00272205277788934,0.217354450845228
"SERPINF2",96.5493176014988,-1.65278579177094,0.552779447285263,-2.98995521611356,0.00279018351766212,0.221603238525763
"VPS33B",113.440798653409,0.940154732101336,0.315023329168805,2.98439717014594,0.00284137688206719,0.224199133846416
"GRAP2",588.460439622547,0.81403388114226,0.272878052539319,2.98314163989046,0.00285305927127475,0.224199133846416
"IGSF6",994.246637573,-1.95458849045292,0.655592934546148,-2.98140566723166,0.00286928429478775,0.224287422874672
"ICOSLG",123.530794635671,-1.00741824112196,0.338447949650641,-2.97658249122754,0.00291480654991096,0.226652915598312
"DYSF",40.8397281778217,-1.85963399874654,0.62556398624567,-2.97273187017551,0.00295162174063335,0.22799531006143
"CYBB",988.71337600444,-1.06324859236564,0.3578935437418,-2.97085155895609,0.00296975285318382,0.22799531006143
"LINC00158",36.2934729231427,2.5718573365223,0.866429203057418,2.96834101095258,0.00299411951768502,0.22799531006143
"MXD4",570.083227466164,0.69437579968362,0.233989298919036,2.96755365690414,0.0030017988390459,0.22799531006143
"FCGR1B",59.6307052010624,-1.53766424647266,0.518384611249934,-2.96626136868729,0.00301444190391389,0.22799531006143
"FGD4",166.462233548069,-1.30820712622521,0.441176441282513,-2.96526968308238,0.00302417695139387,0.22799531006143
"F2R",567.684441730091,0.973209750495049,0.328558620018262,2.9620581874886,0.00305590027136349,0.229223388031771
"LINC01857",131.065465034882,-1.40464279879103,0.474522272628823,-2.96011985066455,0.00307519383116432,0.229511451158053
"PSMB8-AS1",544.695323877939,0.710458907555784,0.240182675762621,2.95799397396151,0.00309648177222742,0.229944736405608
"SMC3",1470.9112290721,0.649308656094425,0.21964733460981,2.9561417499005,0.00311513887604838,0.23011556389838
"KLRG1",740.590982906786,-1.23036316938142,0.416631806011582,-2.95311868087963,0.00314580993676566,0.23011556389838
"ASGR1",76.8862494448252,-1.27566505136634,0.432317299125439,-2.95076105894203,0.00316992037027602,0.23011556389838
"CATSPER1",32.8669309141864,-1.46821839465506,0.497588050285535,-2.95067052718115,0.00317084955059618,0.23011556389838
"SH2D1B",376.056537236686,-1.35311296163177,0.458708262141468,-2.94983341986211,0.00317945303943231,0.23011556389838
"MYOM2",97.6369685236016,-2.06433709754981,0.700097820501777,-2.94864094287602,0.00319174563446447,0.23011556389838
